exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,success_rate,violation_rate,mean_ep_len,fail_rate,mean_energy,total_timesteps,actuator_dr_range,goal_x_min,goal_x_max,goal_tolerance,fault_goal_x_min,fault_goal_x_max,fault_goal_tolerance,friction_range,safety_max_pitch,safety_max_vspeed,safety_terminate,fault_strength,fault_indices,fault_start_step
MSR_fast_noRes,1,target,eval_fault,a2_s0.3_t50,100,319.55437322878606,36.567758639762644,,0.0,142.49,,102.92367376001901,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",50
MSR_fast_noRes,1,target,eval_fault,a2_s0.3_t150,100,597.3859838051645,77.11122249858845,,0.0,360.68,,227.30301824665767,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",150
MSR_fast_noRes,1,target,eval_goal,,100,533.2017176809753,306.434526676352,0.46,0.0,338.73,0.54,151.03685815362027,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,,,
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.7_t0,100,556.1924797224422,299.729414263632,0.45,0.0,349.09,0.55,163.9096859397008,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",0
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.7_t50,100,549.6600171275084,303.0009302742838,0.43,0.0,347.76,0.5700000000000001,158.87144685489568,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",50
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.7_t150,100,552.2413307778883,303.0023856845723,0.43,0.0,348.91,0.5700000000000001,156.69104180163282,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",150
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.5_t0,100,575.9641065070629,294.57958516464714,0.46,0.0,355.71,0.54,184.47486938011397,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",0
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.5_t50,100,553.2754722030302,298.6970863733353,0.47,0.0,347.09,0.53,169.4124418683923,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",50
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.5_t150,100,549.0205616462227,301.96986225126994,0.44,0.0,346.77,0.56,157.35626105628953,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",150
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.3_t0,100,423.93453028499357,294.592313440126,0.57,0.0,276.03,0.43000000000000005,169.85228044913674,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",0
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.3_t50,100,518.7100813085424,325.796505823844,0.42,0.0,331.36,0.5800000000000001,190.90194567983954,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",50
MSR_fast_noRes,1,target,eval_fault_goal,a0_s0.3_t150,100,542.9898332407327,300.69155585165373,0.46,0.0,342.78,0.54,157.66748206974634,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",150
MSR_fast_noRes,1,target,eval_fault_goal,a1_s0.7_t0,100,625.4819335261287,282.1751590639197,0.35,0.0,392.27,0.65,172.8320201634593,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",0
