timesteps,is_success,time_to_goal,violations,fell
174846,0,-1,0,0
174894,1,107,0,0
175164,1,72,0,0
175308,0,-1,4,1
175320,0,-1,0,0
175374,0,-1,0,0
175380,0,-1,14,1
175518,0,-1,4,1
175518,0,-1,5,1
175680,1,86,0,0
175920,0,-1,6,1
176292,0,-1,0,0
176718,0,-1,0,0
176802,0,-1,0,0
176814,1,240,0,0
176976,0,-1,3,1
177132,0,-1,3,0
177186,1,123,0,0
177186,0,-1,2,0
177894,1,118,0,0
177936,0,-1,6,1
178200,0,-1,0,0
178284,0,-1,0,0
178380,0,-1,0,0
178386,1,235,0,0
178812,0,-1,2,0
178830,0,-1,0,0
178968,0,-1,11,1
179292,0,-1,4,1
179358,0,-1,0,0
179490,0,-1,0,0
179604,1,129,0,0
179628,0,-1,0,0
179670,0,-1,6,1
179748,0,-1,4,1
179790,0,-1,0,0
179808,0,-1,3,0
179856,1,31,0,0
179880,0,-1,1,0
179892,0,-1,3,0
180282,0,-1,1,0
180360,0,-1,5,1
181200,1,140,0,0
181224,1,228,0,0
181320,0,-1,6,0
181398,0,-1,0,0
181500,0,-1,0,0
181506,0,-1,10,1
181686,0,-1,12,0
181710,0,-1,21,0
181872,0,-1,0,0
182088,0,-1,0,0
182136,1,105,0,0
182142,0,-1,1,0
182196,1,100,0,0
182214,0,-1,3,0
182298,0,-1,0,0
182334,0,-1,3,1
182496,0,-1,0,0
182586,0,-1,5,0
182610,0,-1,0,0
182874,1,63,0,0
182958,1,99,1,0
183036,0,-1,7,1
183066,0,-1,0,0
183168,0,-1,0,0
183276,1,115,0,0
183324,0,-1,0,0
183360,0,-1,3,1
183408,0,-1,0,0
183528,0,-1,5,0
183528,1,42,2,0
183576,0,-1,6,1
183996,0,-1,0,0
184134,0,-1,1,0
184356,0,-1,7,1
184482,0,-1,10,1
184488,0,-1,1,0
184560,0,-1,1,0
184662,0,-1,2,0
184872,0,-1,2,0
185022,1,148,0,0
185088,1,122,0,0
185238,0,-1,0,0
185436,0,-1,0,0
185472,1,100,0,0
185508,1,170,0,0
185592,0,-1,0,0
185646,0,-1,0,0
186042,1,95,0,0
186072,1,164,0,0
186114,1,101,0,0
186354,1,118,0,0
186528,1,156,0,0
186726,0,-1,0,0
187104,0,-1,0,0
187350,0,-1,4,1
187356,0,-1,2,0
187368,0,-1,5,0
187512,0,-1,0,0
187530,0,-1,0,0
187590,0,-1,2,0
